ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Indoor/Outdoor,Product Type,Blade Span (Diameter) (in.),Ceiling Fan Efficiency (CFM/W),Fan Power Consumption-Low Speed (W),Fan Power Consumption-High Speed (W),Fan Power Consumption-Standby (W),Ceiling Fan Features,Ceiling Fan Components Warranty (Years),Shipped with ENERGY STAR Lamp(s),ENERGY STAR Lamp Partner,Total Light Output (lumens),Total Lighting Input Power (Watts),Power Factor of Light Kit,Light Color Appearance (CCT),Light Color Quality (CRI),Light Source Rated Life (Hours),Light Kit Dimmability,Connected Functionality,Connects Using,Date Available on Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2025 Criteria
3994398,Visual Comfort & Co.,Visual Comfort & Co,CLEANCUT SMART 62 LED,3CCSM62XXXD,,,Indoor Ceiling Fan,Standard Fan Only,62,292.8,4.0,27.2,1.3,,3.0,0,,,,,,,,1,0,,2025-05-01,2025-02-12,"United States, Canada",ES_1113136_3CCSM62XXXD_02122025005559_5025889,0
3994375,Visual Comfort & Co.,Visual Comfort & Co,COLGIN 44 HUGGER LED,3CGHR44***D,",,(*** stand for different colors, where each* can be a letter or a number, or blank)",014817659115;014817659122;014817659139,Indoor Ceiling Fan,Hugger Fan Only,44,179.5,1.4,24.4,0.3,,3.0,0,,,,,,,,1,0,,2025-04-30,2025-02-11,"United States, Canada",ES_1113136_3CGHR44***D_021120250919639_8855340,0
3994376,Visual Comfort & Co.,Visual Comfort & Co,COLGIN 44 HUGGER LED,3CGHR44XXXD,,,Indoor Ceiling Fan,Hugger Fan Only,44,179.5,1.4,24.4,0.3,,3.0,0,,,,,,,,1,0,,2025-04-30,2025-02-11,"United States, Canada",ES_1113136_3CGHR44XXXD_020620250331833_7073675,0
3994263,Visual Comfort & Co.,Visual Comfort & Co,COLGIN 44 LED,3CGR44***D,",,(*** stand for different colors, where each* can be a letter or a number, or blank)",014817659085;014817659092;014817659108,Indoor Ceiling Fan,Standard Fan Only,44,191.3,1.3,24.3,0.3,,3.0,0,,,,,,,,1,0,,2025-04-30,2025-02-07,"United States, Canada",ES_1113136_3CGR44***D_020720250648564_2606127,0
3994264,Visual Comfort & Co.,Visual Comfort & Co,COLGIN 44 LED,3CGR44XXXD,,,Indoor Ceiling Fan,Standard Fan Only,44,191.3,1.3,24.3,0.3,,3.0,0,,,,,,,,1,0,,2025-04-30,2025-02-07,"United States, Canada",ES_1113136_3CGR44XXXD_020620250203504_4487492,0
3994327,Visual Comfort & Co.,Visual Comfort & Co,COLGIN 56 LED,3CGR56***D,",,(*** stand for different colors, where each* can be a letter or a number, or blank)",014817659146;014817659153;014817659160,Indoor Ceiling Fan,Standard Fan Only,56,227.2,5.2,32.2,0.7,,3.0,0,,,,,,,,1,0,,2025-05-15,2025-02-10,"United States, Canada",ES_1113136_3CGR56***D_021020250634244_3439212,0
3994326,Visual Comfort & Co.,Visual Comfort & Co,COLGIN 56 LED,3CGR56XXXD,,,Indoor Ceiling Fan,Standard Fan Only,56,227.2,5.2,32.2,0.7,,3.0,0,,,,,,,,1,0,,2025-05-15,2025-02-10,"United States, Canada",ES_1113136_3CGR56XXXD_021020250634336_7766248,0
3994253,Visual Comfort & Co.,Visual Comfort & Co,COLGIN HUGGER 56 LED,3CGHR56***D,",,(*** stand for different colors, where each* can be a letter or a number, or blank)",014817659177;014817659184;014817659191,Indoor Ceiling Fan,Hugger Fan Only,56,203.8,5.1,32.0,0.7,,3.0,0,,,,,,,,1,0,,2025-05-15,2025-02-07,"United States, Canada",ES_1113136_3CGHR56***D_02072025052647_8450390,1
3994254,Visual Comfort & Co.,Visual Comfort & Co,COLGIN HUGGER 56 LED,3CGHR56XXXD,,,Indoor Ceiling Fan,Hugger Fan Only,56,203.8,5.1,32.0,0.7,,3.0,0,,,,,,,,1,0,,2025-05-15,2025-02-07,"United States, Canada",ES_1113136_3CGHR56XXXD_020720250525232_1440393,1
3892265,Visual Comfort & Co.,Visual Comfort & Co,COLLINS SMART 70,3CLNSM70***,",,*** stand for different colors, where each* can be a letter or a number, or blank",014817658484;014817658491;014817658507;014817658521;014817658538,Indoor Ceiling Fan,Standard Fan Only,70,225.8,4.9,35.1,1.3,,3.0,0,,,,,,,,1,0,,2025-04-01,2025-01-03,"United States, Canada",ES_1113136_3CLNSM70***_122520240706982_4361132,0
3892266,Visual Comfort & Co.,Visual Comfort & Co,COLLINS SMART 70,3CLNSM70XXX,,014817658484;014817658491;014817658507;014817658521;014817658538,Indoor Ceiling Fan,Standard Fan Only,70,225.8,4.9,35.1,1.3,,3.0,0,,,,,,,,1,0,,2025-04-01,2025-01-03,"United States, Canada",ES_1113136_3CLNSM70XXX_010320250849189_2202664,0
3892260,Visual Comfort & Co.,Visual Comfort & Co,DRAPE SMART 58 LED,3DPSM58***D,",,(*** stand for different colors, where each* can be a letter or a number, or blank)",014817658880;014817658897,Indoor Ceiling Fan,Standard Fan Only,58,188.5,5.1,35.1,1.3,,3.0,0,,,,,,,,1,0,,2025-04-30,2025-01-03,"United States, Canada",ES_1113136_3DPSM58***D_010320250630592_3599098,0
3892259,Visual Comfort & Co.,Visual Comfort & Co,DRAPE SMART 58 LED,3DPSM58XXXD,,,Indoor Ceiling Fan,Standard Fan Only,58,188.5,5.1,35.1,1.3,,3.0,0,,,,,,,,1,0,,2025-04-30,2025-01-03,"United States, Canada",ES_1113136_3DPSM58XXXD_123020240811433_4686552,0
