ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Type,Product Class,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Counter Depth,Height (in),Width (in),Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Refrigerant Type,Refrigerant with GWP,Connected Functionality,Connects Using,Connected Functionality Tested,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2025 Criteria
2375987,Midea,MRT18S3A**,",,* are additional numbers and/or letters to indicate the color and/or manufacturer control number",,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,0,0,0,0,0,67.0,33.0,18.0,21.0,362,403.0,,,,0,,,,,2021-03-29,2021-04-06,"United States, Canada",ES_1030337_MRT18S3A**_032920210044695_3533882,1
2740362,Midea,MRT21D3B**,",,*: Suffix could be from 0 to 9 or A to Z or blank to represent different unit color",840296505212,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,0,0,0,0,0,67.0,30.0,20.5,25.0,390,435.0,,R-600a,R-600a (GWP:3 | Lower GWP),0,,,,,2023-11-14,2023-11-20,"United States, Canada",ES_1030337_MRT21D3B**_11202023011289_3116743,1
3629583,Midea,MRU21C7***,",,Refrigerator-Freezer mode (* can be replaced by A to Z or 1 to 9 denotes products with features, which do not have an effect on energy performance)",840296513330,Bottom Freezer,5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,Automatic,0,0,0,0,0,66.6,29.7,20.0,20.0,524,494.0,,,,1,Wi-Fi,1.0,OpenADR,1.0,2024-09-20,2024-09-24,"United States, Canada",ES_1030337_MRU21C7***_092420240219469_6242139,0
4015588,Magic Chef,MCR32CHBF,",,Employ with compressor DG40BY1A",,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,1,0,0,0,1,30.7,17.5,3.2,3.2,219,244.0,,,,0,,,,,2025-03-28,2025-04-14,United States,ES_1107227_MCR32CHBF_041420250558461_9620066,0
4481349,Magic Chef,MCR32CHMF,",,with compressor DG40BY1A",665679009411,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,1,0,0,0,0,31.5,17.5,3.2,3.2,219,244.0,,,,0,,,,,2025-06-01,2025-08-15,United States,ES_1107227_MCR32CHMF_081520250534769_6871566,0
4015589,Magic Chef,MCR32CHRF,",,Employ with compressor DG40BY1A",,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,1,0,0,0,1,30.7,17.5,3.2,3.2,219,244.0,,,,0,,,,,2025-03-28,2025-04-14,United States,ES_1107227_MCR32CHRF_041420250559455_8760658,0
4481350,Magic Chef,MCR32CHWF,",,with compressor DG40BY1A",665679009411,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,1,0,0,0,0,31.5,17.5,3.2,3.2,219,244.0,,,,0,,,,,2025-06-01,2025-08-15,United States,ES_1107227_MCR32CHWF_08152025053445_7423884,0
4497664,Magic Cooling,MDRF375WED,",MDRF359WE,; ,MDRF359WE-RE,; ,MDRF375WE,; ,MDRF375WE-RE,",,Bottom Freezer,5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,Automatic,0,0,0,0,0,73.3,23.2,10.5,12.8,350,430.0,,,,0,,,,,2025-03-13,2025-09-01,"United States, Canada",ES_1152108_MDRF375WED_04292025190911_2122308,0
4497685,Magictec,MDRF375WED,",MDRF359WE,; ,MDRF359WE-RE,; ,MDRF375WE,; ,MDRF375WE-RE,",,Bottom Freezer,5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,Automatic,0,0,0,0,0,73.3,23.2,10.5,12.8,350,430.0,,R-600a,R-600a (GWP:3 | Lower GWP),0,,,,,2025-03-13,2025-09-03,"United States, Canada",ES_1152108_MDRF375WED_04292025190911_5823695,0
4008532,Midea,WHD-113F**1,",,* Suffix could be from 0 to 9 or A to Z or blank to represent different unit color",814982019390,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,1,0,0,0,0,33.0,18.5,3.1,3.8,270,358.0,,R-600a,R-600a (GWP:3 | Lower GWP),0,,,,,2025-04-02,2025-04-02,"United States, Canada",ES_1030337_WHD-113F**1_040220250946988_6833318,0
4016180,Midea,WHD-113F**L,",,* Suffix could be from 0 to 9 or A to Z or blank to represent different unit color",,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,1,0,0,0,0,33.0,18.5,3.1,3.8,270,358.0,,R-600a,R-600a (GWP:3 | Lower GWP),0,,,,,2025-04-10,2025-04-21,"United States, Canada",ES_1030337_WHD-113F**L_042120250601517_8073597,0
2407801,Midea,WHD-663FWE***,",,Asterisk * can be replaced by A to Z or 1 to 9 denotes products with features, which do not have an effect on energy performance",813084027739,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,0,0,0,0,0,67.0,33.0,18.0,21.0,362,403.0,,,,0,,,,,2023-01-30,2023-02-02,"United States, Canada",ES_1030337_WHD-663FWE***_020220230939997_4320651,1
2362020,Midea,WHD-663FWEB1*,",,( “ * "", can be any of A-Z, a-z, 0-9, version code or blank.)",,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,0,0,0,0,0,64.9,29.5,18.1,21.1,362,404.0,,,,0,,,,,2020-06-24,2020-06-24,"United States, Canada",ES_1030337_WHD-663FWEB1*_06242020093639_1399689,1
2285522,Midea,WHD-663FWESS1,",WHD-663FWEB1,",,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,0,0,0,0,0,66.6,29.5,18.0,21.0,362,403.0,,,,0,,,,,2016-11-25,2016-12-06,"United States, Canada",ES_1030337_WHD-663FWESS1_12062016071908_8748531,1
2362021,Midea,WHD-663FWESS1*,",,( “ * "", can be any of A-Z, a-z, 0-9, version code or blank.)",,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,0,0,0,0,0,64.9,29.5,18.1,21.1,362,404.0,,,,0,,,,,2020-06-24,2020-06-24,"United States, Canada",ES_1030337_WHD-663FWESS1*_06242020093653_1413342,1
2362022,Midea,WHD-663FWEW1*,",,( “ * "", can be any of A-Z, a-z, 0-9, version code or blank.)",,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,0,0,0,0,0,64.9,29.5,18.1,21.1,362,404.0,,,,0,,,,,2020-06-24,2020-06-24,"United States, Canada",ES_1030337_WHD-663FWEW1*_06242020093626_1386215,1
4016179,Midea,WHS-121L**1,",,*: Suffix could be from 0 to 9 or A to Z or blank to represent different unit color",814982019208,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,1,0,0,0,0,34.0,19.0,3.3,3.3,220,245.0,,R-600a,R-600a (GWP:3 | Lower GWP),0,,,,,2025-04-08,2025-04-22,"United States, Canada",ES_1030337_WHS-121L**1_042220250613919_1163272,0
2333188,Miele,K 2601 SF,",KI KSDR24USM,Cosmetic",,Freezerless and Single Door,3A-BI - Built-In All-Refrigerators - automatic defrost,Automatic,0,1,0,0,0,83.7,24.0,13.0,13.0,264,333.0,,,,0,,,,,2019-02-14,2018-12-20,"United States, Canada",ES_0031629_K 2601 SF_02072019040259_70207296,0
2365370,Miele,K 2602 Vi,",K 2612 Vi, K 2602 SF,Cosmetic",,Freezerless and Single Door,3A-BI - Built-In All-Refrigerators - automatic defrost,Automatic,0,1,0,0,0,83.7,24.0,13.0,13.0,254,333.0,,,,0,,,,,2020-10-01,2020-08-26,"United States, Canada",ES_0031629_K 2602 Vi_09012020122758_80044906,0
2333187,Miele,K 2611 Vi,",KI KSDR24USM,Cosmetic",,Freezerless and Single Door,3A-BI - Built-In All-Refrigerators - automatic defrost,Automatic,0,1,0,0,0,83.7,24.0,13.0,13.0,264,333.0,,,,0,,,,,2019-02-14,2018-12-20,"United States, Canada",ES_0031629_K 2611 Vi_02072019040259_70207296,0
2333192,Miele,K 2801 SF,",KI KSDR30USM,Cosmetic",,Freezerless and Single Door,3A-BI - Built-In All-Refrigerators - automatic defrost,Automatic,0,1,0,0,0,83.7,30.0,16.8,16.8,289,363.0,,,,0,,,,,2019-02-14,2018-12-20,"United States, Canada",ES_0031629_K 2801 SF_02072019040259_70207296,0
2365371,Miele,K 2802 Vi,",K 2812 Vi, K 2812 SF, K 2802 SF,Cosmetic",,Freezerless and Single Door,3A-BI - Built-In All-Refrigerators - automatic defrost,Automatic,0,1,0,0,0,83.7,30.0,16.8,16.8,279,363.0,,,,0,,,,,2020-10-01,2020-08-26,"United States, Canada",ES_0031629_K 2802 Vi_09012020122758_80044906,0
2333191,Miele,K 2811 SF,",KI KSDR30USM,Cosmetic",,Freezerless and Single Door,3A-BI - Built-In All-Refrigerators - automatic defrost,Automatic,0,1,0,0,0,83.7,30.0,16.8,16.8,289,363.0,,,,0,,,,,2019-02-14,2018-12-20,"United States, Canada",ES_0031629_K 2811 SF_02072019040259_70207296,0
2333190,Miele,K 2811 Vi,",KI KSDR30USM,Cosmetic",,Freezerless and Single Door,3A-BI - Built-In All-Refrigerators - automatic defrost,Automatic,0,1,0,0,0,83.7,30.0,16.8,16.8,289,363.0,,,,0,,,,,2019-02-14,2018-12-20,"United States, Canada",ES_0031629_K 2811 Vi_02072019040259_70207296,0
2333196,Miele,K 2901 SF,",KI KSDR36USM,Cosmetic",,Freezerless and Single Door,3A-BI - Built-In All-Refrigerators - automatic defrost,Automatic,0,1,0,0,0,83.7,36.0,20.6,20.6,313,394.0,,,,0,,,,,2019-02-14,2018-12-20,"United States, Canada",ES_0031629_K 2901 SF_02072019040259_70207296,0
2365372,Miele,K 2902 Vi,",K 2912 Vi, K 2912 SF, K 2902 SF,Cosmetic",,Freezerless and Single Door,3A-BI - Built-In All-Refrigerators - automatic defrost,Automatic,0,1,0,0,0,83.7,36.0,20.6,20.6,312,394.0,,,,0,,,,,2020-10-01,2020-08-26,"United States, Canada",ES_0031629_K 2902 Vi_09012020122758_80044906,0
2333195,Miele,K 2911 SF,",KI KSDR36USM,Cosmetic",,Freezerless and Single Door,3A-BI - Built-In All-Refrigerators - automatic defrost,Automatic,0,1,0,0,0,83.7,36.0,20.6,20.6,313,394.0,,,,0,,,,,2019-02-14,2018-12-20,"United States, Canada",ES_0031629_K 2911 SF_02072019040259_70207296,0
2333194,Miele,K 2911 Vi,",KI KSDR36USM,Cosmetic",,Freezerless and Single Door,3A-BI - Built-In All-Refrigerators - automatic defrost,Automatic,0,1,0,0,0,83.7,36.0,20.6,20.6,313,394.0,,,,0,,,,,2019-02-14,2018-12-20,"United States, Canada",ES_0031629_K 2911 Vi_02072019040259_70207296,0
2333199,Miele,KF 2801 SF,",KI KBM30USM,Cosmetic",,Bottom Freezer,5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,0,1,0,1,0,83.7,30.0,16.0,19.4,498,603.0,,,,0,,,,,2019-02-14,2018-12-20,"United States, Canada",ES_0031629_KF 2801 SF_02072019040259_70207296,0
2365362,Miele,KF 2802 Vi,",KF 2812 Vi, KF 2802 SF, KF 2812 SF,Cosmetic",,Bottom Freezer,5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,0,1,0,1,0,83.7,30.0,16.0,19.4,470,603.0,,,,0,,,,,2020-10-01,2020-08-26,"United States, Canada",ES_0031629_KF 2802 Vi_09012020122758_80044906,0
3436185,Summit;Dreambilt,FFBF11NT,",DBINTRF11,",761101107097;761101107103,Bottom Freezer,5-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,Automatic,0,1,0,0,0,76.4,21.9,10.8,12.4,400,453.0,,,,0,,,,,2024-06-01,2024-04-11,United States,ES_92282_FFBF11NT_04072024135021_6916772,0
