"ENERGY STAR Unique ID","ENERGY STAR Partner","Brand Name","Model Name","Model Number","Additional Model Information","UPC","Product Type","Application","Display Type","Backlight Technology Type","Diagonal Viewable Screen Size (in.)","Screen Area (sq. in.)","Native Horizontal Resolution (pixels)","Native Vertical Resolution (pixels)","Resolution Format","High Contrast Ratio (HCR) Display","Physical Data Ports Available","Ethernet Supported","Low Power Wireless Technologies Supported","Features","Automatic Brightness Control","Is Automatic Brightness Control Enabled by Default in the Default SDR Preset Picture Setting When Television is Shipped?","Average On Mode Power Consumption for Certification (watts)","Maximum Average On Mode Power for Certification (watts)","Reported On Mode Power (per the Federal Test Procedure) (watts)","Reported Annual Energy Consumption (kWh)","Measured Standby Mode Power (Watts)","Power Consumption in Standby Mode when Not Connected to a Network (watts)","Power Consumption in Standby Mode when Connected to a Network (watts)","Reported Standby-Active, Low Mode Power (watts)","Date Available On Market","Date Certified","Markets","CB Model Identifier"
"3555239","ELITELUX TECHNOLOGIES,INC./GLOBAL Q. INTERNATIONAL LIMITED","Sansui","LE-50TA1","LE-50TA1",",C50****.,; ,C50V1UW,; ,C50VAUW,; ,LE-50T1,; ,LE-50T2,; ,LE-50T3,; ,LE-50TA2,; ,LE-50TA3,; ,LE-50V1,; ,LE-50V2,; ,LE-50V3,; ,LE-50VA1,; ,LE-50VA2,; ,LE-50VA3,; ,LE-50VB1,; ,LE-50VB2,; ,LE-50VB3,; ,S50****,; ,S50V1UW,; ,S50VAUW,; ,S50VNUW,","","Television (TV)","Consumer","LCD","Direct-lit LED","49.31","1,042.28","2160","3840","4K (UHD)","No","Universal Serial Bus (USB),HDMI","None","None","None","No","N/A","70.02","89.45","70.02","129.24","0.21","0.2","0.21","1","03/05/2025","07/13/2024","United States, Canada","ES_25251_LE-50TA1_07122024133542_4165613"
"3814699","LG Electronics, Inc.","LG","86QNED80AU*","86QNED80AU*",",,* may be any alphanumeric according to color of stand or enclosure","195174105801","Television (TV)","Consumer","LCD","Edge-lit LED","85.6","3,125.74","3840","2160","4K (UHD)","No","Universal Serial Bus (USB),Other,RS-232,HDMI","Fast Ethernet (100 Mbit/s)","Bluetooth","Quick Start,Wake-On-Cast Compatibility,Control Via Remote Control App,Control Via Smart Speaker,Motion-based Dynamic Dimming (MDD) (also known as Motion Eye Care),Wide Color Gamut,Automatic Brightness Control,User Adjustable Backlight","Yes","No",,,"128.4","234","0.4",,,,"04/18/2025","11/25/2024","United States","ES_1118034_86QNED80AU*_112020241332410_9176285"
"3798876","LG Electronics, Inc.","LG","86QNED82AU*","86QNED82AU*","86QNED77AZ*,86QNED77AZ*,* may be any alphanumeric according to color of stand or enclosure; 86QNED82AA*,86QNED82AA*,* may be any alphanumeric according to color of stand or enclosure","195174105832;195174111109","Television (TV)","Consumer","LCD","Edge-lit LED","85.6","3,125.74","3840","2160","4K (UHD)","No","Universal Serial Bus (USB),Other,RS-232,HDMI","Fast Ethernet (100 Mbit/s)","Bluetooth","Quick Start,Wake-On-Cast Compatibility,Control Via Remote Control App,Control Via Smart Speaker,Motion-based Dynamic Dimming (MDD) (also known as Motion Eye Care),Wide Color Gamut,Automatic Brightness Control,User Adjustable Backlight","Yes","No",,,"143.7","262","0.4",,,,"05/23/2025","02/17/2025","United States","ES_1118034_86QNED82AU*_111520241117790_8196880"
"3798909","LG Electronics, Inc.","LG","86QNED85AU*","86QNED85AU*",",,* may be any alphanumeric according to color of stand or enclosure","195174103937","Television (TV)","Consumer","LCD","Edge-lit LED","85.6","3,125.74","3840","2160","4K (UHD)","No","Universal Serial Bus (USB),Other,RS-232,HDMI","Fast Ethernet (100 Mbit/s)","Bluetooth","Quick Start,Wake-On-Cast Compatibility,Control Via Remote Control App,Control Via Smart Speaker,Motion-based Dynamic Dimming (MDD) (also known as Motion Eye Care),Wide Color Gamut,Automatic Brightness Control,User Adjustable Backlight","Yes","No",,,"143.2","264","0.4",,,,"05/09/2025","11/20/2024","United States","ES_1118034_86QNED85AU*_111820241258585_6849014"
"3387569","LG Electronics, Inc.","LG","86QNED85TU*","86QNED85TU*",",,* may be any alphanumeric according to color of stand or enclosure.","195174079454","Television (TV)","Consumer","QD-LED (QLED)","Edge-lit LED","85.6","3,131.38","3840","2160","4K (UHD)","No","Universal Serial Bus (USB),Other,RS-232,HDMI","Fast Ethernet (100 Mbit/s)","Bluetooth","Quick Start,Wake-On-Cast Compatibility,Control Via Remote Control App,Control Via Smart Speaker,Automatic Brightness Control,User Adjustable Backlight","Yes","No","166.2","195.2","166.2","306",,"0.3","0.4","0.4","04/27/2024","01/16/2024","United States","ES_1118034_86QNED85TU*_011620241302158_3067780"
"2732571","LG Electronics, Inc.","LG","86QNED90TU*","86QNED90TU*","86QNED90TA*,86QNED90TA*,86QNED90TA* is the same as 86QNED90TU* except for model designation.* may be any alphanumeric according to color of stand or enclosure","195174075999","Television (TV)","Consumer","QD-LED (QLED)","Direct-lit LED","85.6","3,131.38","3840","2160","4K (UHD)","No","Universal Serial Bus (USB),Other,RS-232,HDMI","Fast Ethernet (100 Mbit/s)","Bluetooth","Quick Start,Wake-On-Cast Compatibility,Control Via Remote Control App,Control Via Smart Speaker,Motion-based Dynamic Dimming (MDD) (also known as Motion Eye Care),Automatic Brightness Control,User Adjustable Backlight","Yes","No","184.6","209.5","184.6","340",,"0.3","0.4","0.4","02/20/2024","11/07/2023","United States","ES_1118034_86QNED90TU*_110620232307833_8438748"
"2837274","LG Electronics, Inc.","LG","OLED42C4PU*","OLED42C4PU*","OLED42C4AU*,OLED42C4AU*,OLED42C4AU* is the same as OLED42C4PU* except for model designation.* may be any alphanumeric according to color of stand or enclosure","195174077351;195174078129","Television (TV)","Consumer","OLED","OLED","41.6","737.6","3840","2160","4K (UHD)","Yes","Universal Serial Bus (USB),Other,RS-232,HDMI","Fast Ethernet (100 Mbit/s)","Bluetooth","Quick Start,Wake-On-Cast Compatibility,Control Via Remote Control App,Control Via Smart Speaker,Automatic Brightness Control,User Adjustable Backlight","Yes","No","72.7","84.9","72.7","136",,"0.3","0.5","0.5","02/20/2024","12/04/2023","United States","ES_1118034_OLED42C4PU*_120420231414970_6783407"
"3722353","LG Electronics, Inc.","LG","OLED42C5***","OLED42C5***",",,* may be any alphanumeric according to color of stand or enclosure","195174103951;195174105917","Television (TV)","Consumer","OLED","OLED","41.5","734.86","3840","2160","4K (UHD)","Yes","Universal Serial Bus (USB),Other,RS-232,HDMI","Fast Ethernet (100 Mbit/s)","Bluetooth","Quick Start,Wake-On-Cast Compatibility,Control Via Remote Control App,Control Via Smart Speaker,Motion-based Dynamic Dimming (MDD) (also known as Motion Eye Care),Wide Color Gamut,Automatic Brightness Control,User Adjustable Backlight","Yes","No","77.8","89.2","77.8","145","0.01","0.3","0.4","0.4","03/14/2025","11/07/2024","United States","ES_1118034_OLED42C5***_110520240818736_4073844"
"2837273","LG Electronics, Inc.","LG","OLED48B4PU*","OLED48B4PU*","OLED48B4AU*,OLED48B4AU*,OLED48B4AU* is the same as OLED48B4PU* except for model designation.* may be any alphanumeric according to color of stand or enclosure","195174077368;195174078136","Television (TV)","Consumer","OLED","OLED","47.5","965.32","3840","2160","4K (UHD)","Yes","Universal Serial Bus (USB),Other,RS-232,HDMI","Fast Ethernet (100 Mbit/s)","Bluetooth","Quick Start,Wake-On-Cast Compatibility,Control Via Remote Control App,Control Via Smart Speaker,Automatic Brightness Control,User Adjustable Backlight","Yes","No","81.3","100","81.3","151",,"0.3","0.4","0.4","04/08/2024","12/01/2023","United States","ES_1118034_OLED48B4PU*_120120230350401_8021145"
"3892683","LG Electronics, Inc.","LG","OLED48B5***","OLED48B5***",",,* may be any alphanumeric according to color of stand or enclosure","195174105948","Television (TV)","Consumer","OLED","OLED","47.5","964.62","3840","2160","4K (UHD)","Yes","Universal Serial Bus (USB),Other,RS-232,HDMI","Fast Ethernet (100 Mbit/s)","Bluetooth","Quick Start,Wake-On-Cast Compatibility,Control Via Remote Control App,Control Via Smart Speaker,Automatic Brightness Control,User Adjustable Backlight","Yes","No","85.1","97","95","176",,,"0.4",,"03/11/2025","01/09/2025","United States","ES_1118034_OLED48B5***_010920250348169_7601684"
